ticker,timestamp,title,source,url,sentiment,positive_score,neutral_score,negative_score
BTC,2026-01-18 00:19:33,Satoshi-Era Miner Moves Millions in Bitcoin After 15 Years of Silence,BeInCrypto,https://beincrypto.com/satoshi-era-bitcoin-miner-shifts-millions/,positive,0.8524,0.0118,0.1357
BTC,2026-01-18 00:19:33,Bitcoin above $95K as spot BTC ETFs score largest inflow since October,CoinDesk,https://videos.coindesk.com/previews/FKG29wnb,negative,0.0384,0.0759,0.8857
BTC,2026-01-18 00:19:33,"Bitcoin Stays Above $95,000, But the Real Test Begins Now",BeInCrypto,https://beincrypto.com/bitcoin-price-toughest-challenge-yet/,negative,0.0326,0.1591,0.8083
BTC,2026-01-18 00:19:33,Bitcoin Bull Market Starts With a 4.5% Move? History and Charts Finally Align,BeInCrypto,https://beincrypto.com/bitcoin-price-bull-market-trigger/,positive,0.6185,0.0947,0.2868
BTC,2026-01-18 00:19:33,"Billionaire Michael Saylor’s Strategy Scoops 13,627 Bitcoin for $1.25B",Cryptonews,https://cryptonews.com/news/billionaire-michael-saylors-strategy-scoops-13627-bitcoin-for-1-25b/,positive,0.9305,0.0143,0.0553
BTC,2026-01-18 00:19:33,"Ethereum to $40,000? Why one analyst expects the second-biggest crypto to outperform Bitcoin",Dlnews.com,https://www.dlnews.com/articles/markets/why-ethereum-will-outperform-bitcoin-by-2030-according-to-standard-chartered/,negative,0.2708,0.0134,0.7158
BTC,2026-01-18 00:19:33,Nearly $3 Billion in Bitcoin and Ethereum Options Expire as Markets Test Breakout Conviction,BeInCrypto,https://beincrypto.com/bitcoin-ethereum-options-expiry-2026-2/,positive,0.5767,0.3699,0.0535
BTC,2026-01-18 00:19:33,Bank of America warns major threat could push trillions out of U.S. banks,TheStreet,https://www.thestreet.com/crypto/markets/bank-of-america-warns-major-threat-could-push-trillions-out-of-u-s-banks,neutral,0.0483,0.9334,0.0183
BTC,2026-01-18 00:19:33,Bitcoin Open Interest Drops 31% as Analysts Call a Market Bottom and Eye $105k Breakout,Cryptonews,https://cryptonews.com/news/bitcoin-open-interest-drops-31-as-analysts-call-a-market-bottom-and-eye-105k-breakout/,neutral,0.0113,0.9731,0.0156
BTC,2026-01-18 00:19:33,"Michael Saylor's Strategy bought 13,627 bitcoin for ~$1.25B between January 5 and 11, taking its total holdings to 687,410, and boosts its USD reserve to $2.25B (James Hunt/The Block)",Techmeme.com,https://www.techmeme.com/260112/p15,negative,0.1116,0.0102,0.8781
BTC,2026-01-18 00:19:33,"BTC ETFs Log $753M in Inflows, Short Liquidations Skyrocket",Coinspeaker,https://www.coinspeaker.com/btc-etfs-log-753m-in-inflows-short-liquidations-skyrocket/,neutral,0.0468,0.7118,0.2414
BTC,2026-01-18 00:19:33,MicroStrategy director buys MSTR dip after years of selling,TheStreet,https://www.thestreet.com/crypto/markets/microstrategy-director-buys-mstr-dip-after-years-of-selling,positive,0.9037,0.0101,0.0862
BTC,2026-01-18 00:19:33,"Bitcoin rose above $92,000 as BlackRock ETF moved $300 million to Coinbase Prime",CoinDesk,https://www.coindesk.com/markets/2026/01/13/bitcoin-rose-above-usd92-000-as-blackrock-etf-moved-usd300-million-to-coinbase-prime,negative,0.0929,0.0177,0.8894
BTC,2026-01-18 00:19:33,"Bitcoin opens path to $100,000 paved by gold: Crypto Daybook Americas",CoinDesk,https://www.coindesk.com/daybook-us/2026/01/14/bitcoin-opens-path-to-usd100-00-paved-by-gold-crypto-daybook-americas,positive,0.9098,0.0161,0.0741
